Movie,Month,Day,Year,Budget,Domestic_Gross,Worldwide_Gross
Hocus Pocus,Jul,16,1993,28,39.360491,39.360491
Poetic Justice,Jul,23,1993,14,27.450453,27.450453
What's Love Got to Do With It,Jun,9,1993,15,39.100956,39.100956
Jurassic Park,Jun,11,1993,63,395.708305,1038.812584
Last Action Hero,Jun,18,1993,85,50.016394,137.298489
The Firm,Jun,30,1993,42,158.340892,270.340892
Teenage Mutant Ninja Turtles III,Mar,19,1993,21,42.273609,42.273609
Much Ado About Nothing,May,7,1993,8,22.549338,22.549338
Excessive Force,May,14,1993,13,1.152117,1.152117
Menace II Society,May,26,1993,3.5,27.731527,27.731527
Cliffhanger,May,28,1993,65,84.049211,255
Super Mario Bros.,May,28,1993,42,20.844907,20.844907
The Remains of the Day,Nov,5,1993,15,22.954968,63.954968
RoboCop 3,Nov,5,1993,22,10.69621,10.69621
The Piano,Nov,12,1993,7,40.157856,40.157856
Mrs. Doubtfire,Nov,24,1993,25,219.195051,441.286003
The Nutcracker,Nov,24,1993,19,2.119994,2.119994
Cool Runnings,Oct,1,1993,14,68.856263,155.056263
Ruby in Paradise,Oct,1,1993,0.8,1.001437,1.001437
Gettysburg,Oct,8,1993,25,10.731997,10.731997
Fortress,Sep,3,1993,12,6.730578,46.730578
True Romance,Sep,10,1993,12.5,12.281,12.30998
The Age of Innocence,Sep,17,1993,34,32.014993,32.014993
Dazed and Confused,Sep,24,1993,6.9,7.950889,7.950889
Warlock: The Armageddon,Sep,24,1993,3,3.902679,3.902679
Serial Mom,Apr,13,1994,13,7.881335,7.881335
The Inkwell,Apr,22,1994,8,8.864699,8.864699
PCU,Apr,29,1994,9,4.333569,4.333569
Clear and Present Danger,Aug,3,1994,62,122.012656,207.5
Police Academy 7: Mission to Moscow,Aug,26,1994,10,0.126247,0.126247
Killing Zoe,Aug,31,1994,1.5,0.418953,0.418953
Disclosure,Dec,9,1994,55,83.015089,212.2
Disclosure,Dec,9,1994,55,83.015089,212.2
Dumb & Dumber,Dec,16,1994,16,127.175374,246.4
Little Women,Dec,21,1994,15,50.003303,50.003303
Ri¢hie Ri¢h,Dec,21,1994,40,38.087756,38.087756
Legends of the Fall,Dec,23,1994,30,66.502573,160.502573
Street Fighter,Dec,23,1994,35,33.423,99.423
The Jungle Book,Dec,25,1994,27,44.342956,44.342956
There Goes My Baby,Dec,31,1994,10.5,0.125169,0.125169
Ace Ventura: Pet Detective,Feb,4,1994,12,72.217396,107.217396
